Demolish,C,10E,196/383,No,0.15,
Demon's Horn,U,10E,320/383,No,0.49,
Demystify,C,10E,14/383,No,0.15,
Denizen of the Deep,R,10E,80/383,No,0.49,
Diabolic Tutor,U,10E,135/383,No,0.99,
Discombobulate,U,10E,81/383,No,0.49,
Distress,C,10E,136/383,No,0.25,
Doomed Necromancer,R,10E,137/383,No,3.49,
Doubling Cube,R,10E,321/383,No,6.99,
Dragon Roost,R,10E,197/383,No,1.99,
Dragon's Claw,U,10E,322/383,No,0.49,
Dreamborn Muse,R,10E,82/383,No,0.75,
Dross Crocodile,C,10E,138/383,No,0.15,
Drudge Skeletons,U,10E,139/383,No,0.25,
Duct Crawler,C,10E,198/383,No,0.15,
Dusk Imp,C,10E,140/383,No,0.15,
Earth Elemental,U,10E,199/383,No,0.25,
Elven Riders,U,10E,259/383,No,0.25,
Elvish Berserker,C,10E,260/383,No,0.15,
Elvish Champion,R,10E,261/383,No,5.99,
Elvish Piper,R,10E,262/383,No,9.99,
Enormous Baloth,U,10E,263/383,No,0.25,
Essence Drain,C,10E,141/383,No,0.15,
Evacuation,R,10E,83/383,No,2.99,
Faerie Conclave,U,10E,351/383,No,1.99,
Fear,C,10E,142/383,No,0.15,
Femeref Archers,U,10E,264/383,No,0.49,
Festering Goblin,C,10E,143/383,No,0.25,
Field Marshal,R,10E,15/383,No,7.99,
Firebreathing,C,10E,200/383,No,0.15,
Fists of the Anvil,C,10E,201/383,No,0.15,
Flamewave Invoker,U,10E,202/383,No,0.25,
Flashfreeze,U,10E,84/383,No,0.49,
Flowstone Slide,R,10E,203/383,No,0.49,
Fog Elemental,U,10E,85/383,No,0.25,
Forbidding Watchtower,U,10E,352/383,No,0.99,
Forest,C,10E,380/383,No,0.25,
Forest,C,10E,381/383,No,0.25,
Forest,C,10E,382/383,No,0.25,
Forest,C,10E,383/383,No,0.25,
Fountain of Youth,U,10E,323/383,No,0.25,
Fugitive Wizard,C,10E,86/383,No,0.15,
Furnace of Rath,R,10E,204/383,No,2.49,
Furnace Whelp,U,10E,205/383,No,0.25,
Gaea's Herald,R,10E,265/383,No,1.49,
Ghitu Encampment,U,10E,353/383,No,0.49,
Ghost Warden,C,10E,16/383,No,0.15,
Giant Growth,C,10E,266/383,No,0.25,
Giant Spider,C,10E,267/383,No,0.15,
Glorious Anthem,R,10E,17/383,No,2.99,
Goblin Elite Infantry,C,10E,206/383,No,0.15,
Goblin King,R,10E,207/383,No,2.99,
Goblin Lore,U,10E,208/383,No,0.25,
Goblin Piker,C,10E,209/383,No,0.15,
Goblin Sky Raider,C,10E,210/383,No,0.15,
Grave Pact,R,10E,144/383,No,9.99,
Graveborn Muse,R,10E,145/383,No,1.49,
Gravedigger,C,10E,146/383,No,0.25,
Grizzly Bears,C,10E,268/383,No,0.15,
Guerrilla Tactics,U,10E,211/383,No,0.25,
Hail of Arrows,U,10E,18/383,No,0.49,
Hate Weaver,U,10E,147/383,No,0.25,
Head Games,R,10E,148/383,No,0.49,
Heart of Light,C,10E,19/383,No,0.15,
Hidden Horror,U,10E,149/383,No,0.49,
High Ground,U,10E,20/383,No,0.49,
Highway Robber,C,10E,150/383,No,0.15,
Hill Giant,C,10E,212/383,No,0.15,
Holy Day,C,10E,21/383,No,0.49,
Holy Strength,C,10E,22/383,No,0.15,
Honor Guard,C,10E,23/383,No,0.15,
Horseshoe Crab,C,10E,87/383,No,0.15,
Howling Mine,R,10E,325/383,No,2.99,
Hunted Wumpus,U,10E,269/383,No,0.25,
Hurkyl's Recall,R,10E,88/383,No,6.99,
Hurricane,R,10E,270/383,No,0.75,
Hypnotic Specter,R,10E,151/383,No,2.99,
Icatian Priest,U,10E,24/383,No,0.25,
Icy Manipulator,U,10E,326/383,No,0.49,
Incinerate,C,10E,213/383,No,0.49,
Island,C,10E,368/383,No,0.49,
Island,C,10E,369/383,No,0.49,
Island,C,10E,370/383,No,0.49,
Island,C,10E,371/383,No,0.49,
Jayemdae Tome,R,10E,327/383,No,0.49,
Joiner Adept,R,10E,271/383,No,1.99,
Juggernaut,U,10E,328/383,No,0.25,
Kamahl, Pit Fighter,R,10E,214/383,
Karplusan Forest,R,10E,354/383,No,2.99,
Karplusan Strider,U,10E,272/383,No,0.25,
Kavu Climber,C,10E,273/383,No,0.15,
Kjeldoran Royal Guard,R,10E,25/383,No,0.49,
Knight of Dusk,U,10E,152/383,No,0.49,
Kraken's Eye,U,10E,329/383,No,0.25,
Lava Axe,C,10E,215/383,No,0.15,
Lavaborn Muse,R,10E,216/383,No,0.49,
Legacy Weapon,R,10E,330/383,No,1.99,
Leonin Scimitar,U,10E,331/383,No,0.25,
Lightning Elemental,C,10E,217/383,No,0.15,
Llanowar Elves,C,10E,274/383,No,0.49,
Llanowar Sentinel,C,10E,275/383,No,0.25,
Llanowar Wastes,R,10E,355/383,No,3.99,
Looming Shade,C,10E,153/383,No,0.15,
Lord of the Pit,R,10E,154/383,No,0.49,
Lord of the Undead,R,10E,155/383,No,9.99,
Loxodon Mystic,C,10E,26/383,No,0.15,
Loxodon Warhammer,R,10E,332/383,No,2.99,
Loyal Sentry,R,10E,27/383,No,0.99,
Lumengrid Warden,C,10E,89/383,No,0.15,
Luminesce,U,10E,28/383,No,0.25,
Lure,U,10E,276/383,No,0.49,
Mahamoti Djinn,R,10E,90/383,No,0.49,
Manabarbs,R,10E,218/383,No,0.75,
Mantis Engine,U,10E,333/383,No,0.25,
March of the Machines,R,10E,91/383,No,0.75,
Mass of Ghouls,C,10E,156/383,No,0.15,
Megrim,U,10E,157/383,No,0.99,
Merfolk Looter,C,10E,92/383,No,0.25,
Midnight Ritual,R,10E,158/383,No,0.49,
Might of Oaks,R,10E,277/383,No,0.99,
Might Weaver,U,10E,278/383,No,0.25,
Millstone,R,10E,334/383,No,0.75,
Mind Bend,R,10E,93/383,No,0.49,
Mind Rot,C,10E,159/383,No,0.25,
Mind Stone,U,10E,335/383,No,1.49,
Mirri, Cat Warrior,R,10E,279/383,
Mobilization,R,10E,29/383,No,2.99,
Mogg Fanatic,U,10E,219/383,No,1.49,
Molimo, Maro-Sorcerer,R,10E,280/383,
Mortal Combat,R,10E,160/383,No,0.49,
Mortivore,R,10E,161/383,No,1.99,
Mountain,C,10E,376/383,No,0.25,
Mountain,C,10E,377/383,No,0.25,
Mountain,C,10E,378/383,No,0.25,
Mountain,C,10E,379/383,No,0.25,
Nantuko Husk,U,10E,162/383,No,0.49,
Natural Spring,C,10E,281/383,No,0.15,
Naturalize,C,10E,282/383,No,0.25,
Nekrataal,U,10E,163/383,No,0.49,
Nightmare,R,10E,164/383,No,0.75,
No Rest for the Wicked,U,10E,165/383,No,0.25,
Nomad Mythmaker,R,10E,30/383,No,1.99,
Orcish Artillery,U,10E,220/383,No,0.25,
Ornithopter,U,10E,336/383,No,1.49,
Overgrowth,C,10E,283/383,No,0.49,
Overrun,U,10E,284/383,No,0.99,
Pacifism,C,10E,31/383,No,0.25,
Paladin en-Vec,R,10E,32/383,No,1.99,
Pariah,R,10E,33/383,No,2.99,
Peek,C,10E,94/383,No,0.49,
Persuasion,U,10E,95/383,No,0.49,
Phage the Untouchable,R,10E,166/383,No,5.99,
Phantom Warrior,U,10E,96/383,No,0.49,
Phyrexian Rager,C,10E,167/383,No,0.25,
Phyrexian Vault,U,10E,337/383,No,0.49,
Pincher Beetles,C,10E,285/383,No,0.15,
Pithing Needle,R,10E,338/383,No,2.99,
Plagiarize,R,10E,97/383,No,0.49,
Plague Beetle,C,10E,168/383,No,0.15,
Plague Wind,R,10E,169/383,No,3.99,
Plains,C,10E,364/383,No,0.25,
Plains,C,10E,365/383,No,0.25,
Plains,C,10E,366/383,No,0.25,
Plains,C,10E,367/383,No,0.25,
Platinum Angel,R,10E,339/383,No,7.99,
Primal Rage,U,10E,286/383,No,1.99,
Prodigal Pyromancer,C,10E,221/383,No,0.15,
Puppeteer,U,10E,98/383,No,0.25,
Pyroclasm,U,10E,222/383,No,1.49,
Quicksand,U,10E,356/383,No,0.25,
Quirion Dryad,R,10E,287/383,No,1.49,
Rage Weaver,U,10E,223/383,No,0.25,
Raging Goblin,C,10E,224/383,No,0.25,
Rain of Tears,U,10E,170/383,No,0.49,
Rampant Growth,C,10E,288/383,No,0.49,
Ravenous Rats,C,10E,171/383,No,0.25,
Razormane Masticore,R,10E,340/383,No,0.49,
Recollect,U,10E,289/383,No,0.49,
Recover,C,10E,172/383,No,0.15,
Regeneration,U,10E,290/383,No,0.15,
Relentless Assault,R,10E,225/383,No,0.75,
Relentless Rats,U,10E,173/383,No,2.99,
Reminisce,U,10E,99/383,No,0.49,
Remove Soul,C,10E,100/383,No,0.25,
Reviving Dose,C,10E,34/383,No,0.15,
Reya Dawnbringer,R,10E,35/383,No,5.99,
Rhox,R,10E,291/383,No,0.75,
Righteousness,R,10E,36/383,No,0.49,
Robe of Mirrors,C,10E,101/383,No,0.25,
Rock Badger,C,10E,226/383,No,0.15,
Rod of Ruin,U,10E,341/383,No,0.25,
Root Maze,R,10E,292/383,No,0.49,
Rootwalla,C,10E,293/383,No,0.15,
Rootwater Commando,C,10E,102/383,No,0.15,
Rootwater Matriarch,R,10E,103/383,No,0.75,
Royal Assassin,R,10E,174/383,No,1.49,
Rule of Law,U,10E,37/383,No,1.49,
Rushwood Dryad,C,10E,294/383,No,0.15,
Sage Owl,C,10E,104/383,No,0.15,
Samite Healer,C,10E,38/383,No,0.15,
Scalpelexis,R,10E,105/383,No,0.75,
Scathe Zombies,C,10E,175/383,No,0.15,
Scion of the Wild,R,10E,295/383,No,0.49,
Scoria Wurm,R,10E,227/383,No,0.49,
Sculpting Steel,R,10E,342/383,No,4.99,
Sea Monster,C,10E,106/383,No,0.15,
Seedborn Muse,R,10E,296/383,No,11.99,
Seismic Assault,R,10E,228/383,No,1.99,
Sengir Vampire,R,10E,176/383,No,0.99,
Serra Angel,R,10E,39/383,No,0.99,
Serra's Embrace,U,10E,40/383,No,0.25,
Severed Legion,C,10E,177/383,No,0.15,
Shatterstorm,U,10E,229/383,No,1.99,
Shimmering Wings,C,10E,107/383,No,0.15,
Shivan Dragon,R,10E,230/383,No,0.99,
Shivan Hellkite,R,10E,231/383,No,0.99,
Shivan Reef,R,10E,357/383,No,6.99,
Shock,C,10E,232/383,No,0.49,
Shunt,R,10E,233/383,No,0.49,
Siege-Gang Commander,R,10E,234/383,No,2.49,
Sift,C,10E,108/383,No,0.15,
Sky Weaver,U,10E,109/383,No,0.25,
Skyhunter Patrol,C,10E,41/383,No,0.15,
Skyhunter Prowler,C,10E,42/383,No,0.15,
Skyhunter Skirmisher,U,10E,43/383,No,0.49,
Skyshroud Ranger,C,10E,297/383,No,0.25,
Sleeper Agent,R,10E,178/383,No,0.75,
Smash,C,10E,235/383,No,0.15,
Snapping Drake,C,10E,110/383,No,0.15,
Soul Feast,U,10E,179/383,No,0.25,
Soul Warden,U,10E,44/383,No,0.99,
Soulblast,R,10E,236/383,No,0.49,
Spark Elemental,U,10E,237/383,No,0.99,
Spawning Pool,U,10E,358/383,No,0.49,
Spellbook,U,10E,343/383,No,0.99,
Spiketail Hatchling,U,10E,111/383,No,0.25,
Spined Wurm,C,10E,298/383,No,0.15,
Spineless Thug,C,10E,180/383,No,0.15,
Spirit Link,U,10E,45/383,No,0.49,
Spirit Weaver,U,10E,46/383,No,0.25,
Spitting Earth,C,10E,238/383,No,0.15,
Squee, Goblin Nabob,R,10E,239/383,
Stalking Tiger,C,10E,299/383,No,0.15,
Stampeding Wildebeests,U,10E,300/383,No,0.49,
Starlight Invoker,U,10E,47/383,No,0.25,
Steadfast Guard,C,10E,48/383,No,0.15,
Steel Golem,U,10E,344/383,No,0.49,
Story Circle,R,10E,49/383,No,1.99,
Stronghold Discipline,U,10E,181/383,No,0.25,
Stun,C,10E,240/383,No,0.15,
Sudden Impact,U,10E,241/383,No,0.25,
Sulfurous Springs,R,10E,359/383,No,1.99,
Sunken Hope,R,10E,112/383,No,0.49,
Suntail Hawk,C,10E,50/383,No,0.25,
Swamp,C,10E,372/383,No,0.25,
Swamp,C,10E,373/383,No,0.25,
Swamp,C,10E,374/383,No,0.25,
Swamp,C,10E,375/383,No,0.25,
Sylvan Basilisk,U,10E,301/383,No,0.49,
Sylvan Scrying,U,10E,302/383,No,3.99,
Tangle Spider,U,10E,303/383,No,0.25,
Telepathy,U,10E,113/383,No,0.49,
Telling Time,U,10E,114/383,No,0.49,
Tempest of Light,U,10E,51/383,No,0.25,
Terramorphic Expanse,C,10E,360/383,No,0.49,
Terror,C,10E,182/383,No,0.25,
The Hive,R,10E,324/383,No,0.49,
Thieving Magpie,U,10E,115/383,No,0.25,
Threaten,U,10E,242/383,No,0.25,
Thrull Surgeon,U,10E,183/383,No,0.25,
Thundering Giant,U,10E,243/383,No,0.25,
Tidings,U,10E,116/383,No,0.49,
Time Stop,R,10E,117/383,No,1.99,
Time Stretch,R,10E,118/383,No,5.99,
Traumatize,R,10E,119/383,No,2.99,
Treasure Hunter,U,10E,52/383,No,0.25,
Treetop Bracers,C,10E,304/383,No,0.15,
Treetop Village,U,10E,361/383,No,1.99,
Troll Ascetic,R,10E,305/383,No,1.99,
True Believer,R,10E,53/383,No,1.99,
Tundra Wolves,C,10E,54/383,No,0.15,
Twincast,R,10E,120/383,No,2.99,
Twitch,C,10E,121/383,No,0.15,
Uncontrollable Anger,C,10E,244/383,No,0.15,
Underground River,R,10E,362/383,No,2.99,
Underworld Dreams,R,10E,184/383,No,2.99,
Unholy Strength,C,10E,185/383,No,0.25,
Unsummon,C,10E,122/383,No,0.25,
Upwelling,R,10E,306/383,No,0.49,
Vampire Bats,C,10E,186/383,No,0.15,
Vedalken Mastermind,U,10E,123/383,No,0.49,
Venerable Monk,C,10E,55/383,No,0.15,
Verdant Force,R,10E,307/383,No,1.99,
Viashino Runner,C,10E,245/383,No,0.15,
Viashino Sandscout,C,10E,246/383,No,0.15,
Viridian Shaman,U,10E,308/383,No,0.49,
Voice of All,R,10E,56/383,No,1.49,
Wall of Air,U,10E,124/383,No,0.49,
Wall of Fire,U,10E,247/383,No,0.25,
Wall of Swords,U,10E,57/383,No,0.25,
Wall of Wood,C,10E,309/383,No,0.15,
Warp World,R,10E,248/383,No,0.49,
Warrior's Honor,C,10E,58/383,No,0.15,
Whispersilk Cloak,U,10E,345/383,No,
Wild Griffin,C,10E,59/383,No,0.15,
Windborn Muse,R,10E,60/383,No,
Wrath of God,R,10E,61/383,No,
Wurm's Tooth,U,10E,346/383,No,
Yavimaya Coast,R,10E,363/383,No,
Yavimaya Enchantress,U,10E,310/383,No,
Youthful Knight,C,10E,62/383,No,0.15,
Abundance,R,10E,249/383,Yes,11.99,
Academy Researchers,U,10E,63/383,Yes,2.49,
Adarkar Wastes,R,10E,347/383,Yes,11.99,
Afflict,C,10E,125/383,Yes,0.25,
Aggressive Urge,C,10E,250/383,Yes,0.25,
Agonizing Memories,U,10E,126/383,Yes,0.49,
Air Elemental,U,10E,64/383,Yes,0.49,
Ambassador Laquatus,R,10E,65/383,Yes,4.99,
Anaba Bodyguard,C,10E,187/383,Yes,0.25,
Ancestor's Chosen,U,10E,1/383,Yes,0.99,
Angel of Mercy,U,10E,2/383,Yes,3.49,
Angelic Blessing,C,10E,3/383,Yes,0.25,
Angelic Chorus,R,10E,4/383,Yes,7.99,
Angelic Wall,C,10E,5/383,Yes,0.99,
Angel's Feather,U,10E,311/383,Yes,0.75,
Arcane Teachings,U,10E,188/383,Yes,0.99,
Arcanis the Omnipotent,R,10E,66/383,Yes,14.99,
Ascendant Evincar,R,10E,127/383,Yes,5.99,
Assassinate,C,10E,128/383,Yes,0.49,
Aura Graft,U,10E,67/383,Yes,0.49,
Aura of Silence,U,10E,6/383,Yes,11.99,
Avatar of Might,R,10E,251/383,Yes,2.99,
Aven Cloudchaser,C,10E,7/383,Yes,0.49,
Aven Fisher,C,10E,68/383,Yes,0.25,
Aven Windreader,C,10E,69/383,Yes,0.25,
Ballista Squad,U,10E,8/383,Yes,0.49,
Bandage,C,10E,9/383,Yes,0.25,
Battlefield Forge,R,10E,348/383,Yes,6.99,
Beacon of Destruction,R,10E,189/383,Yes,2.99,
Beacon of Immortality,R,10E,10/383,Yes,11.99,
Beacon of Unrest,R,10E,129/383,Yes,14.99,
Benalish Knight,C,10E,11/383,Yes,0.99,
Birds of Paradise,R,10E,252/383,Yes,14.99,
Blanchwood Armor,U,10E,253/383,Yes,3.49,
Blaze,U,10E,190/383,Yes,1.99,
Bloodfire Colossus,R,10E,191/383,Yes,2.49,
Bloodrock Cyclops,C,10E,192/383,Yes,0.25,
Bog Wraith,U,10E,130/383,Yes,0.49,
Bogardan Firefiend,C,10E,193/383,Yes,0.25,
Boomerang,C,10E,70/383,Yes,1.99,
Bottle Gnomes,U,10E,312/383,Yes,0.99,
Brushland,R,10E,349/383,Yes,6.99,
Cancel,C,10E,71/383,Yes,0.75,
Canopy Spider,C,10E,254/383,Yes,0.25,
Caves of Koilos,R,10E,350/383,Yes,7.99,
Cephalid Constable,R,10E,72/383,Yes,3.99,
Chimeric Staff,R,10E,313/383,Yes,1.99,
Cho-Manno, Revolutionary,R,10E,12/383,
Chromatic Star,U,10E,314/383,Yes,7.99,
Citanul Flute,R,10E,315/383,Yes,5.99,
Civic Wayfinder,C,10E,255/383,Yes,0.99,
Clone,R,10E,73/383,Yes,3.99,
Cloud Elemental,C,10E,74/383,Yes,0.25,
Cloud Sprite,C,10E,75/383,Yes,0.99,
Coat of Arms,R,10E,316/383,Yes,14.99,
Colossus of Sardia,R,10E,317/383,Yes,1.99,
Commune with Nature,C,10E,256/383,Yes,0.75,
Composite Golem,U,10E,318/383,Yes,0.99,
Condemn,U,10E,13/383,Yes,1.99,
Cone of Flame,U,10E,194/383,Yes,0.-15,
Consume Spirit,U,10E,131/383,Yes,1.49,
Contaminated Bond,C,10E,132/383,Yes,0.25,
Counsel of the Soratami,C,10E,76/383,Yes,0.25,
Crafty Pathmage,C,10E,77/383,Yes,0.25,
Craw Wurm,C,10E,257/383,Yes,0.25,
Creeping Mold,U,10E,258/383,Yes,0.75,
Crucible of Worlds,R,10E,319/383,Yes,59.99,
Cruel Edict,U,10E,133/383,Yes,1.99,
Cryoclasm,U,10E,195/383,Yes,0.49,
Deathmark,U,10E,134/383,Yes,1.99,
Dehydration,C,10E,78/383,Yes,0.25,
Deluge,U,10E,79/383,Yes,0.49,
Demolish,C,10E,196/383,Yes,0.25,
Demon's Horn,U,10E,320/383,Yes,0.75,
Demystify,C,10E,14/383,Yes,0.25,
Denizen of the Deep,R,10E,80/383,Yes,1.99,
Diabolic Tutor,U,10E,135/383,Yes,3.99,
Discombobulate,U,10E,81/383,Yes,0.99,
Distress,C,10E,136/383,Yes,1.99,
Doomed Necromancer,R,10E,137/383,Yes,4.99,
Doubling Cube,R,10E,321/383,Yes,11.99,
Dragon Roost,R,10E,197/383,Yes,4.99,
Dragon's Claw,U,10E,322/383,Yes,0.99,
Dreamborn Muse,R,10E,82/383,Yes,1.99,
Dross Crocodile,C,10E,138/383,Yes,0.25,
Drudge Skeletons,U,10E,139/383,Yes,0.99,
Duct Crawler,C,10E,198/383,Yes,0.25,
Dusk Imp,C,10E,140/383,Yes,0.25,
Earth Elemental,U,10E,199/383,Yes,0.49,
Elven Riders,U,10E,259/383,Yes,0.49,
Elvish Berserker,C,10E,260/383,Yes,0.49,
Elvish Champion,R,10E,261/383,Yes,9.99,
Elvish Piper,R,10E,262/383,Yes,14.99,
Enormous Baloth,U,10E,263/383,Yes,0.49,
Essence Drain,C,10E,141/383,Yes,0.25,
Evacuation,R,10E,83/383,Yes,19.99,
Faerie Conclave,U,10E,351/383,Yes,4.99,
Fear,C,10E,142/383,Yes,0.25,
Femeref Archers,U,10E,264/383,Yes,0.75,
Festering Goblin,C,10E,143/383,Yes,1.49,
Field Marshal,R,10E,15/383,Yes,11.99,
Firebreathing,C,10E,200/383,Yes,0.25,
Fists of the Anvil,C,10E,201/383,Yes,0.25,
Flamewave Invoker,U,10E,202/383,Yes,0.49,
Flashfreeze,U,10E,84/383,Yes,0.99,
Flowstone Slide,R,10E,203/383,Yes,1.99,
Fog Elemental,U,10E,85/383,Yes,0.49,
Forbidding Watchtower,U,10E,352/383,Yes,3.99,
Forest,C,10E,380/383,Yes,1.49,
Forest,C,10E,381/383,Yes,1.49,
Forest,C,10E,382/383,Yes,1.49,
Forest,C,10E,383/383,Yes,1.49,
Fountain of Youth,U,10E,323/383,Yes,0.99,
Fugitive Wizard,C,10E,86/383,Yes,0.25,
Furnace of Rath,R,10E,204/383,Yes,4.99,
Furnace Whelp,U,10E,205/383,Yes,0.99,
Gaea's Herald,R,10E,265/383,Yes,4.99,
Ghitu Encampment,U,10E,353/383,Yes,1.99,
Ghost Warden,C,10E,16/383,Yes,0.25,
Giant Growth,C,10E,266/383,Yes,0.99,
Giant Spider,C,10E,267/383,Yes,0.25,
Glorious Anthem,R,10E,17/383,Yes,7.99,
Goblin Elite Infantry,C,10E,206/383,Yes,0.25,
Goblin King,R,10E,207/383,Yes,6.99,
Goblin Lore,U,10E,208/383,Yes,0.99,
Goblin Piker,C,10E,209/383,Yes,0.25,
Goblin Sky Raider,C,10E,210/383,Yes,0.25,
Grave Pact,R,10E,144/383,Yes,24.99,
Graveborn Muse,R,10E,145/383,Yes,9.99,
Gravedigger,C,10E,146/383,Yes,0.75,
Grizzly Bears,C,10E,268/383,Yes,0.49,
Guerrilla Tactics,U,10E,211/383,Yes,0.99,
Hail of Arrows,U,10E,18/383,Yes,0.75,
Hate Weaver,U,10E,147/383,Yes,0.49,
Head Games,R,10E,148/383,Yes,1.99,
Heart of Light,C,10E,19/383,Yes,0.25,
Hidden Horror,U,10E,149/383,Yes,0.99,
High Ground,U,10E,20/383,Yes,0.99,
Highway Robber,C,10E,150/383,Yes,0.25,
Hill Giant,C,10E,212/383,Yes,0.25,
Holy Day,C,10E,21/383,Yes,1.99,
Holy Strength,C,10E,22/383,Yes,0.25,
Honor Guard,C,10E,23/383,Yes,0.25,
Horseshoe Crab,C,10E,87/383,Yes,0.49,
Howling Mine,R,10E,325/383,Yes,7.99,
Hunted Wumpus,U,10E,269/383,Yes,0.75,
Hurkyl's Recall,R,10E,88/383,Yes,49.99,
Hurricane,R,10E,270/383,Yes,4.99,
Hypnotic Specter,R,10E,151/383,Yes,4.99,
Icatian Priest,U,10E,24/383,Yes,0.49,
Icy Manipulator,U,10E,326/383,Yes,2.49,
Incinerate,C,10E,213/383,Yes,3.99,
Island,C,10E,368/383,Yes,2.99,
Island,C,10E,369/383,Yes,2.99,
Island,C,10E,370/383,Yes,2.99,
Island,C,10E,371/383,Yes,2.99,
Jayemdae Tome,R,10E,327/383,Yes,1.99,
Joiner Adept,R,10E,271/383,Yes,5.99,
Juggernaut,U,10E,328/383,Yes,0.75,
Kamahl, Pit Fighter,R,10E,214/383,
Karplusan Forest,R,10E,354/383,Yes,7.99,
Karplusan Strider,U,10E,272/383,Yes,0.49,
Kavu Climber,C,10E,273/383,Yes,0.25,
Kjeldoran Royal Guard,R,10E,25/383,Yes,1.99,
Knight of Dusk,U,10E,152/383,Yes,2.99,
Kraken's Eye,U,10E,329/383,Yes,0.49,
Lava Axe,C,10E,215/383,Yes,0.49,
Lavaborn Muse,R,10E,216/383,Yes,1.99,
Legacy Weapon,R,10E,330/383,Yes,7.99,
Leonin Scimitar,U,10E,331/383,Yes,0.99,
Lightning Elemental,C,10E,217/383,Yes,0.25,
Llanowar Elves,C,10E,274/383,Yes,2.99,
Llanowar Sentinel,C,10E,275/383,Yes,0.99,
Llanowar Wastes,R,10E,355/383,Yes,7.99,
Looming Shade,C,10E,153/383,Yes,0.25,
Lord of the Pit,R,10E,154/383,Yes,1.99,
Lord of the Undead,R,10E,155/383,Yes,19.99,
Loxodon Mystic,C,10E,26/383,Yes,0.25,
Loxodon Warhammer,R,10E,332/383,Yes,7.99,
Loyal Sentry,R,10E,27/383,Yes,3.99,
Lumengrid Warden,C,10E,89/383,Yes,0.25,
Luminesce,U,10E,28/383,Yes,0.49,
Lure,U,10E,276/383,Yes,0.99,
Mahamoti Djinn,R,10E,90/383,Yes,1.99,
Manabarbs,R,10E,218/383,Yes,2.99,
Mantis Engine,U,10E,333/383,Yes,0.49,
